"Calendar year","ABS remoteness area","Age group","Sex","Road user","Hospitalisations"
2011,"Remote","40-64","Female","Other",15
2011,"Remote","40-64","Female","Pedal cyclist",5
2011,"Remote","40-64","Male","Car",81
2011,"Remote","40-64","Male","Heavy transport vehicle",13
2011,"Remote","40-64","Male","Motorcyclist",75
2011,"Remote","40-64","Male","Other",17
2011,"Remote","40-64","Male","Pedal cyclist",12
2011,"Remote","65-74","Female","Car",12
2011,"Remote","65-74","Female","Motorcyclist",1
2011,"Remote","65-74","Female","Other",2
2011,"Remote","65-74","Male","Car",8
2011,"Remote","65-74","Male","Heavy transport vehicle",2
2011,"Remote","65-74","Male","Motorcyclist",6
2011,"Remote","65-74","Male","Other",6
2011,"Remote","65-74","Male","Pedal cyclist",2
2011,"Remote","75+","Female","Car",3
2011,"Remote","75+","Female","Other",1
2011,"Remote","75+","Male","Car",8
2011,"Remote","75+","Male","Other",1
2011,"Remote","8-16","Female","Car",21
2011,"Remote","8-16","Female","Heavy transport vehicle",2
2011,"Remote","8-16","Female","Motorcyclist",6
2011,"Remote","8-16","Female","Pedal cyclist",3
2011,"Remote","8-16","Male","Car",40
2011,"Remote","8-16","Male","Motorcyclist",36
2011,"Remote","8-16","Male","Other",5
2011,"Remote","8-16","Male","Pedal cyclist",19
2012,"Major Cities","0-7","Female","Car",83
2012,"Major Cities","0-7","Female","Motorcyclist",3
2012,"Major Cities","0-7","Female","Other",39
2012,"Major Cities","0-7","Female","Pedal cyclist",29
2012,"Major Cities","0-7","Male","Car",91
2012,"Major Cities","0-7","Male","Motorcyclist",14
2012,"Major Cities","0-7","Male","Other",66
2012,"Major Cities","0-7","Male","Pedal cyclist",87
2012,"Major Cities","17-25","Female","Car",1190
2012,"Major Cities","17-25","Female","Motorcyclist",109
2012,"Major Cities","17-25","Female","Other",152
2012,"Major Cities","17-25","Female","Pedal cyclist",93
2012,"Major Cities","17-25","Male","Car",1331
2012,"Major Cities","17-25","Male","Heavy transport vehicle",23
2012,"Major Cities","17-25","Male","Motorcyclist",1124
2012,"Major Cities","17-25","Male","Other",266
2012,"Major Cities","17-25","Male","Pedal cyclist",445
2012,"Major Cities","26-39","Female","Car",1133
2012,"Major Cities","26-39","Female","Heavy transport vehicle",4
2012,"Major Cities","26-39","Female","Motorcyclist",136
2012,"Major Cities","26-39","Female","Other",180
2012,"Major Cities","26-39","Female","Pedal cyclist",241
2012,"Major Cities","26-39","Male","Car",1239
2012,"Major Cities","26-39","Male","Heavy transport vehicle",70
2012,"Major Cities","26-39","Male","Motorcyclist",1327
2012,"Major Cities","26-39","Male","Other",282
2012,"Major Cities","26-39","Male","Pedal cyclist",841
2012,"Major Cities","40-64","Female","Car",1563
2012,"Major Cities","40-64","Female","Heavy transport vehicle",7
2012,"Major Cities","40-64","Female","Motorcyclist",200
2012,"Major Cities","40-64","Female","Other",252
2012,"Major Cities","40-64","Female","Pedal cyclist",325
2012,"Major Cities","40-64","Male","Car",1330
2012,"Major Cities","40-64","Male","Heavy transport vehicle",111
2012,"Major Cities","40-64","Male","Motorcyclist",1506
2012,"Major Cities","40-64","Male","Other",328
2012,"Major Cities","40-64","Male","Pedal cyclist",1347
2012,"Major Cities","65-74","Female","Car",417
2012,"Major Cities","65-74","Female","Motorcyclist",6
2012,"Major Cities","65-74","Female","Other",92
2012,"Major Cities","65-74","Female","Pedal cyclist",46
2012,"Major Cities","65-74","Male","Car",326
2012,"Major Cities","65-74","Male","Heavy transport vehicle",9
2012,"Major Cities","65-74","Male","Motorcyclist",75
2012,"Major Cities","65-74","Male","Other",84
2012,"Major Cities","65-74","Male","Pedal cyclist",152
2012,"Major Cities","75+","Female","Car",555
2012,"Major Cities","75+","Female","Heavy transport vehicle",1
2012,"Major Cities","75+","Female","Motorcyclist",3
2012,"Major Cities","75+","Female","Other",198
2012,"Major Cities","75+","Female","Pedal cyclist",6
2012,"Major Cities","75+","Male","Car",439
2012,"Major Cities","75+","Male","Heavy transport vehicle",1
2012,"Major Cities","75+","Male","Motorcyclist",18
2012,"Major Cities","75+","Male","Other",154
2012,"Major Cities","75+","Male","Pedal cyclist",55
2012,"Major Cities","8-16","Female","Car",188
2012,"Major Cities","8-16","Female","Motorcyclist",26
2012,"Major Cities","8-16","Female","Other",71
2012,"Major Cities","8-16","Female","Pedal cyclist",90
2012,"Major Cities","8-16","Male","Car",176
2012,"Major Cities","8-16","Male","Heavy transport vehicle",1
2012,"Major Cities","8-16","Male","Motorcyclist",155
2012,"Major Cities","8-16","Male","Other",158
2012,"Major Cities","8-16","Male","Pedal cyclist",423
2012,"Regional","0-7","Female","Car",64
2012,"Regional","0-7","Female","Heavy transport vehicle",1
2012,"Regional","0-7","Female","Motorcyclist",6
2012,"Regional","0-7","Female","Other",13
2012,"Regional","0-7","Female","Pedal cyclist",27
2012,"Regional","0-7","Male","Car",57
2012,"Regional","0-7","Male","Heavy transport vehicle",1
2012,"Regional","0-7","Male","Motorcyclist",21
2012,"Regional","0-7","Male","Other",30
2012,"Regional","0-7","Male","Pedal cyclist",49
2012,"Regional","17-25","Female","Car",710
2012,"Regional","17-25","Female","Heavy transport vehicle",1
2012,"Regional","17-25","Female","Motorcyclist",50
2012,"Regional","17-25","Female","Other",30
2012,"Regional","17-25","Female","Pedal cyclist",25
2012,"Regional","17-25","Male","Car",911
2012,"Regional","17-25","Male","Heavy transport vehicle",19
2012,"Regional","17-25","Male","Motorcyclist",667
2012,"Regional","17-25","Male","Other",89
2012,"Regional","17-25","Male","Pedal cyclist",131
2012,"Regional","26-39","Female","Car",508
2012,"Regional","26-39","Female","Heavy transport vehicle",1
2012,"Regional","26-39","Female","Motorcyclist",41
2012,"Regional","26-39","Female","Other",33
2012,"Regional","26-39","Female","Pedal cyclist",39
